freguesia,classification,listings,identifiable_licences,establishments_estimate
Ajuda,licença oficial fora de Lisboa,8,8,8
Ajuda,licença repetida em várias localizações,7,7,7
Ajuda,licença repetida na mesma localização,6,6,3
Ajuda,licença única em Lisboa,113,113,113
Ajuda,provável estabelecimento com anúncios múltiplos,52,52,16
Ajuda,sem licença identificável,58,0,58
Alcntara,licença oficial fora de Lisboa,7,7,7
Alcntara,licença repetida em várias localizações,13,13,13
Alcntara,licença repetida na mesma localização,6,6,2
Alcntara,licença única em Lisboa,131,131,131
Alcntara,provável estabelecimento com anúncios múltiplos,53,53,14
Alcntara,sem licença identificável,75,0,75
Alvalade,licença oficial fora de Lisboa,10,10,10
Alvalade,licença repetida em várias localizações,19,19,19
Alvalade,licença repetida na mesma localização,2,2,1
Alvalade,licença única em Lisboa,84,84,84
Alvalade,provável estabelecimento com anúncios múltiplos,53,53,16
Alvalade,sem licença identificável,90,0,90
Areeiro,licença oficial fora de Lisboa,12,12,12
Areeiro,licença repetida em várias localizações,63,63,63
Areeiro,licença única em Lisboa,66,66,66
Areeiro,provável estabelecimento com anúncios múltiplos,131,131,30
Areeiro,sem licença identificável,194,0,194
Arroios,licença oficial fora de Lisboa,84,84,84
Arroios,licença repetida em várias localizações,125,125,125
Arroios,licença repetida na mesma localização,30,30,15
Arroios,licença única em Lisboa,689,689,689
Arroios,provável estabelecimento com anúncios múltiplos,672,672,156
Arroios,sem licença identificável,554,0,554
Avenidas Novas,licença oficial fora de Lisboa,30,30,30
Avenidas Novas,licença repetida em várias localizações,82,82,82
Avenidas Novas,licença repetida na mesma localização,9,9,3
Avenidas Novas,licença única em Lisboa,163,163,163
Avenidas Novas,provável estabelecimento com anúncios múltiplos,213,213,41
Avenidas Novas,sem licença identificável,366,0,366
Beato,licença oficial fora de Lisboa,8,8,8
Beato,licença repetida em várias localizações,7,7,7
Beato,licença repetida na mesma localização,2,2,1
Beato,licença única em Lisboa,49,49,49
Beato,provável estabelecimento com anúncios múltiplos,33,33,9
Beato,sem licença identificável,32,0,32
Belm,licença oficial fora de Lisboa,15,15,15
Belm,licença repetida na mesma localização,15,15,6
Belm,licença única em Lisboa,121,121,121
Belm,provável estabelecimento com anúncios múltiplos,58,58,18
Belm,sem licença identificável,72,0,72
Benfica,licença oficial fora de Lisboa,6,6,6
Benfica,licença repetida em várias localizações,4,4,4
Benfica,licença única em Lisboa,32,32,32
Benfica,provável estabelecimento com anúncios múltiplos,7,7,2
Benfica,sem licença identificável,32,0,32
Campo de Ourique,licença oficial fora de Lisboa,23,23,23
Campo de Ourique,licença repetida em várias localizações,11,11,11
Campo de Ourique,licença repetida na mesma localização,16,16,7
Campo de Ourique,licença única em Lisboa,162,162,162
Campo de Ourique,provável estabelecimento com anúncios múltiplos,78,78,30
Campo de Ourique,sem licença identificável,183,0,183
Campolide,licença oficial fora de Lisboa,13,13,13
Campolide,licença repetida em várias localizações,17,17,17
Campolide,licença repetida na mesma localização,4,4,2
Campolide,licença única em Lisboa,90,90,90
Campolide,provável estabelecimento com anúncios múltiplos,115,115,18
Campolide,sem licença identificável,74,0,74
Carnide,licença repetida na mesma localização,2,2,1
